movie_name,date,regions,types,actors,actor_count,score,vote_count
盗梦空间,2010-09-01,美国|英国,剧情|科幻|悬疑|冒险,莱昂纳多·迪卡普里奥|约瑟夫·高登-莱维特|艾利奥特·佩吉|汤姆·哈迪|渡边谦|迪利普·劳|基里安·墨菲|汤姆·贝伦杰|玛丽昂·歌迪亚|皮特·波斯尔思韦特|迈克尔·凯恩|卢卡斯·哈斯|李太力|克莱尔·吉尔蕾|马格努斯·诺兰|泰勒·吉蕾|乔纳森·吉尔|水源士郎|冈本玉二|厄尔·卡梅伦|瑞恩·海沃德|米兰达·诺兰|拉什·费加|蒂姆·科勒赫|妲露拉·莱莉|迈克尔·加斯顿|吉尔·马德雷尔|玛格丽特·因索利亚|维吉尔·布莱米|布拉德·雅各布维茨|Natasha Beaumont,31,9.4,2184502
星际穿越,2014-11-12,美国|英国|加拿大,剧情|科幻|冒险,马修·麦康纳|安妮·海瑟薇|杰西卡·查斯坦|麦肯吉·弗依|卡西·阿弗莱克|迈克尔·凯恩|马特·达蒙|提莫西·查拉梅|艾伦·伯斯汀|约翰·利思戈|韦斯·本特利|大卫·吉亚西|比尔·欧文|托弗·戈瑞斯|科莱特·沃夫|弗朗西斯·X.麦卡蒂|安德鲁·博尔巴|乔什·斯图沃特|莱雅·卡里恩斯|利亚姆·迪金森|杰夫·赫普内尔|伊莱耶斯·加贝尔|布鲁克·史密斯|大卫·奥伊罗|威廉姆·德瓦内|拉什·费加|格里芬·弗雷泽|弗洛拉·诺兰,28,9.4,1993538
楚门的世界,1998-06-05,美国,剧情|科幻,金·凯瑞|劳拉·琳妮|艾德·哈里斯|诺亚·艾默里奇|娜塔莎·麦克艾霍恩|保罗·吉亚玛提|彼得·克劳斯|霍兰德·泰勒|菲利普·贝克·霍尔|哈里·谢尔|乔尔·麦金农·米勒|冈本玉二|澳澜·琼斯|布莱尔·斯莱特|梅丽莎·菲茨杰拉德|马克·麦考利|珍妮特·米勒|马西娅·德波尼斯|安东尼·科隆|布赖恩·戴拉特|约翰·普莱舍|Adam Tomei|Jake Eberle|贾德森·沃恩|特里·金瑞利|Joe Minjares,26,9.4,1850070
忠犬八公的故事,2009-06-13,美国|英国,剧情,理查·基尔|莎拉·罗默尔|琼·艾伦|罗比·萨布莱特|艾瑞克·阿瓦利|田川洋行|杰森·亚历山大|罗伯特·卡普荣|凯文·德科斯泰|高岛彩|奇科|莱拉|福雷斯特|Ellen Becker-Gray|Ben Skinner|达文尼亚·麦克法登|贝茨·怀尔德|亚美利哥·普雷休蒂|盖尔·布格贾|马丁·蒙塔纳|Michael Kelly|Raymond Alongi,22,9.4,1461850
大闹天宫,1961,中国大陆,剧情|动画|奇幻|古装,邱岳峰|富润生|毕克|尚华|于鼎|李梓|刘广宁,7,9.4,471047
背靠背，脸对脸,1994-09-10,中国大陆|中国香港,剧情,牛振华|雷恪生|李强|句号|王劲松|戈治均|佘南南|张嘉益|刘国祥|徐学政|林海海|温谦|马载军|吴玮玲|张艺|韩炳杰|杨亚洲|王洪光,18,9.5,154768
十二怒汉,1957-04-10,美国,剧情,亨利·方达|马丁·鲍尔萨姆|约翰·菲德勒|李·科布|E.G.马绍尔|杰克·克卢格曼|爱德华·宾斯|杰克·沃登|约瑟夫·史威尼|埃德·贝格利|乔治·沃斯科维奇|罗伯特·韦伯|约翰·萨沃卡,13,9.4,532303
无间道,2003-09-05,中国香港,剧情|犯罪|惊悚,刘德华|梁朝伟|黄秋生|曾志伟|陈慧琳|郑秀文|陈冠希|余文乐|萧亚轩|林家栋|吴廷烨|林迪安|尹志强|许金峰|何华超|利沙华|区轩玮|李天翔|黄燕强|姚文基|余世腾|苏伟南|黎志伟|梁皓楷|张旭燊|袁伟豪|叶清|洪智杰|张艺|杨容莲|李叶健|李华柱|梁超怡|曾健勇,34,9.3,1457470
海上钢琴师,2019-11-15,意大利,剧情|音乐,蒂姆·罗斯|普路特·泰勒·文斯|比尔·努恩|克兰伦斯·威廉姆斯三世|梅兰尼·蒂埃里|皮特·沃恩|尼尔·奥布赖恩|阿尔贝托·巴斯克斯|加布里埃莱·拉维亚|科里·巴克|西德尼·科尔|Luigi De Luca|尼古拉·迪·平托|费米·依鲁福祖|伊斯顿·盖奇|凯文·麦克纳利|布莱恩·普林格|沙拉·鲁宾|希思科特·威廉姆斯|阿妮妲·扎格利亚|安吉洛·迪洛雷塔|吉达·布塔|曲敬国,23,9.3,1763912
末代皇帝,1987-10-04,英国|意大利|中国大陆|法国,剧情|传记|历史,尊龙|陈冲|邬君梅|彼得·奥图尔|英若诚|吴涛|黄自强|丹尼斯·邓|坂本龙一|马吉·汉|里克·扬|田川洋行|苟杰德|理查德·吴|皱缇格|陈凯歌|卢燕|蒋锡礽|陈述|鲍皓昕|黄文捷|邵茹贞|亨利·基|张良斌|梁冬|康斯坦丁·格雷戈里|黄汉琪|王涛|宋怀桂|蔡鸿翔|程淑艳|张天民|王彪|劳力|户田惠子|石凉,36,9.3,952702
